column_names	experiment	host	virus	variant	dose	time
EB2_WT_deltaVP30_48h__p	ehuh3	Huh cells	Ebola	WT	moi10	48h
EB2_WT_deltaVP30_72h__b	ehuh3	Huh cells	Ebola	WT	moi10	72h
EB2_WT_deltaVP30_72h__p	ehuh3	Huh cells	Ebola	WT	moi10	72h
H7N9_calu3_WT_0hr__b	icl102	Calu3 cells	H7N9	H7N9_WT	moi1	0h
H7N9_calu3_WT_0hr__p	icl102	Calu3 cells	H7N9	H7N9_WT	moi1	0h
H7N9_calu3_WT_7hr__b	icl102	Calu3 cells	H7N9	H7N9_WT	moi1	7h
H7N9_calu3_WT_7hr__p	icl102	Calu3 cells	H7N9	H7N9_WT	moi1	7h
H7N9_calu3_WT_12hr__b	icl102	Calu3 cells	H7N9	H7N9_WT	moi1	12h
H7N9_calu3_WT_12hr__p	icl102	Calu3 cells	H7N9	H7N9_WT	moi1	12h
H7N9_calu3_WT_24hr__b	icl102	Calu3 cells	H7N9	H7N9_WT	moi1	24h
H7N9_calu3_WT_24hr__p	icl102	Calu3 cells	H7N9	H7N9_WT	moi1	24h
H7N9_calu3_FM_0hr__b	icl102	Calu3 cells	H7N9	H7N9_FM	moi1	0h
H7N9_calu3_FM_0hr__p	icl102	Calu3 cells	H7N9	H7N9_FM	moi1	0h
H7N9_calu3_FM_7hr__b	icl102	Calu3 cells	H7N9	H7N9_FM	moi1	7h
H7N9_calu3_FM_7hr__p	icl102	Calu3 cells	H7N9	H7N9_FM	moi1	7h
H7N9_calu3_FM_12hr__b	icl102	Calu3 cells	H7N9	H7N9_FM	moi1	12h
H7N9_calu3_FM_12hr__p	icl102	Calu3 cells	H7N9	H7N9_FM	moi1	12h
H7N9_calu3_FM_24hr__b	icl102	Calu3 cells	H7N9	H7N9_FM	moi1	24h
H7N9_calu3_FM_24hr__p	icl102	Calu3 cells	H7N9	H7N9_FM	moi1	24h
H7N9_calu3_X691_0hr__b	icl102	Calu3 cells	H7N9	H7N9_X691	moi1	0h
H7N9_calu3_X691_0hr__p	icl102	Calu3 cells	H7N9	H7N9_X691	moi1	0h
H7N9_calu3_X691_7hr__b	icl102	Calu3 cells	H7N9	H7N9_X691	moi1	7h
H7N9_calu3_X691_7hr__p	icl102	Calu3 cells	H7N9	H7N9_X691	moi1	7h
H7N9_calu3_X691_12hr__b	icl102	Calu3 cells	H7N9	H7N9_X691	moi1	12h
H7N9_calu3_X691_12hr__p	icl102	Calu3 cells	H7N9	H7N9_X691	moi1	12h
H7N9_calu3_X691_24hr__b	icl102	Calu3 cells	H7N9	H7N9_X691	moi1	24h
H7N9_calu3_X691_24hr__p	icl102	Calu3 cells	H7N9	H7N9_X691	moi1	24h
H5N1_calu3_WT_0hr__b	icl103	Calu3 cells	H5N1WT	H5N1_WT	moi1	0h
H5N1_calu3_WT_0hr__p	icl103	Calu3 cells	H5N1WT	H5N1_WT	moi1	0h
H5N1_calu3_WT_7hr__b	icl103	Calu3 cells	H5N1WT	H5N1_WT	moi1	7h
H5N1_calu3_WT_7hr__p	icl103	Calu3 cells	H5N1WT	H5N1_WT	moi1	7h
H5N1_calu3_WT_12hr__b	icl103	Calu3 cells	H5N1WT	H5N1_WT	moi1	12h
H5N1_calu3_WT_12hr__p	icl103	Calu3 cells	H5N1WT	H5N1_WT	moi1	12h
H5N1_calu3_WT_24hr__b	icl103	Calu3 cells	H5N1WT	H5N1_WT	moi1	24h
H5N1_calu3_WT_24hr__p	icl103	Calu3 cells	H5N1WT	H5N1_WT	moi1	24h
H5N1_calu3_X627E_0hr__b	icl103	Calu3 cells	H5N1PB2	H5N1_X627E	moi1	0h
H5N1_calu3_X627E_0hr__p	icl103	Calu3 cells	H5N1PB2	H5N1_X627E	moi1	0h
H5N1_calu3_X627E_7hr__b	icl103	Calu3 cells	H5N1PB2	H5N1_X627E	moi1	7h
H5N1_calu3_X627E_7hr__p	icl103	Calu3 cells	H5N1PB2	H5N1_X627E	moi1	7h
H5N1_calu3_X627E_12hr__b	icl103	Calu3 cells	H5N1PB2	H5N1_X627E	moi1	12h
H5N1_calu3_X627E_12hr__p	icl103	Calu3 cells	H5N1PB2	H5N1_X627E	moi1	12h
H5N1_calu3_X627E_24hr__b	icl103	Calu3 cells	H5N1PB2	H5N1_X627E	moi1	24h
H5N1_calu3_X627E_24hr__p	icl103	Calu3 cells	H5N1PB2	H5N1_X627E	moi1	24h
H5N1_calu3_NS1_0hr__b	icl103	Calu3 cells	H5N1NS1	H5N1_NS1	moi1	0h
H5N1_calu3_NS1_0hr__p	icl103	Calu3 cells	H5N1NS1	H5N1_NS1	moi1	0h
H5N1_calu3_NS1_7hr__b	icl103	Calu3 cells	H5N1NS1	H5N1_NS1	moi1	7h
H5N1_calu3_NS1_7hr__p	icl103	Calu3 cells	H5N1NS1	H5N1_NS1	moi1	7h
H5N1_calu3_NS1_12hr__b	icl103	Calu3 cells	H5N1NS1	H5N1_NS1	moi1	12h
H5N1_calu3_NS1_12hr__p	icl103	Calu3 cells	H5N1NS1	H5N1_NS1	moi1	12h
H5N1_calu3_NS1_24hr__b	icl103	Calu3 cells	H5N1NS1	H5N1_NS1	moi1	24h
H5N1_calu3_NS1_24hr__p	icl103	Calu3 cells	H5N1NS1	H5N1_NS1	moi1	24h
H1N1_WT_calu3_Cal04_0hr__b	icl104	Calu3 cells	H1N1WT	H1N1_WT	moi3	0h
H1N1_WT_calu3_Cal04_0hr__p	icl104	Calu3 cells	H1N1WT	H1N1_WT	moi3	0h
H1N1_WT_calu3_Cal04_7hr__b	icl104	Calu3 cells	H1N1WT	H1N1_WT	moi3	7h
H1N1_WT_calu3_Cal04_7hr__p	icl104	Calu3 cells	H1N1WT	H1N1_WT	moi3	7h
H1N1_WT_calu3_Cal04_12hr__b	icl104	Calu3 cells	H1N1WT	H1N1_WT	moi3	12h
H1N1_WT_calu3_Cal04_12hr__p	icl104	Calu3 cells	H1N1WT	H1N1_WT	moi3	12h
H1N1_WT_calu3_Cal04_24hr__b	icl104	Calu3 cells	H1N1WT	H1N1_WT	moi3	24h
H1N1_WT_calu3_Cal04_24hr__p	icl104	Calu3 cells	H1N1WT	H1N1_WT	moi3	24h
H1N1_WT_calu3_Cal04_36hr__b	icl104	Calu3 cells	H1N1WT	H1N1_WT	moi3	36h
H1N1_WT_calu3_Cal04_36hr__p	icl104	Calu3 cells	H1N1WT	H1N1_WT	moi3	36h
H1N1_WT_calu3_Cal04_48hr__b	icl104	Calu3 cells	H1N1WT	H1N1_WT	moi3	48h
H1N1_WT_calu3_Cal04_48hr__p	icl104	Calu3 cells	H1N1WT	H1N1_WT	moi3	48h
mouse_H1N1_WT_1d__b	im101	mouse lung	H1N1WT	H1N1_WT	1.00E+04	1d
mouse_H1N1_WT_1d__p	im101	mouse lung	H1N1WT	H1N1_WT	1.00E+04	1d
mouse_H1N1_WT_2d__b	im101	mouse lung	H1N1WT	H1N1_WT	1.00E+04	2d
mouse_H1N1_WT_2d__p	im101	mouse lung	H1N1WT	H1N1_WT	1.00E+04	2d
mouse_H1N1_WT_4d__b	im101	mouse lung	H1N1WT	H1N1_WT	1.00E+04	4d
mouse_H1N1_WT_4d__p	im101	mouse lung	H1N1WT	H1N1_WT	1.00E+04	4d
mouse_H1N1_WT_7d__b	im101	mouse lung	H1N1WT	H1N1_WT	1.00E+04	7d
mouse_H1N1_WT_7d__p	im101	mouse lung	H1N1WT	H1N1_WT	1.00E+04	7d
mouse_H5N1_WT_1d__b	im101	mouse lung	H5N1WT	H5N1_WT	476	1d
mouse_H5N1_WT_1d__p	im101	mouse lung	H5N1WT	H5N1_WT	476	1d
mouse_H5N1_WT_2d__b	im101	mouse lung	H5N1WT	H5N1_WT	476	2d
mouse_H5N1_WT_2d__p	im101	mouse lung	H5N1WT	H5N1_WT	476	2d
mouse_H5N1_WT_4d__b	im101	mouse lung	H5N1WT	H5N1_WT	476	4d
mouse_H5N1_WT_4d__p	im101	mouse lung	H5N1WT	H5N1_WT	476	4d
mouse_H5N1_NS1_124_1d__b	im101	mouse lung	H5N1NS1	H5N1_NS1	1100	124
mouse_H5N1_NS1_124_1d__p	im101	mouse lung	H5N1NS1	H5N1_NS1	1100	124
mouse_H5N1_NS1_124_2d__b	im101	mouse lung	H5N1NS1	H5N1_NS1	1100	124
mouse_H5N1_NS1_124_2d__p	im101	mouse lung	H5N1NS1	H5N1_NS1	1100	124
mouse_H5N1_NS1_124_4d__b	im101	mouse lung	H5N1NS1	H5N1_NS1	1100	124
mouse_H5N1_NS1_124_4d__p	im101	mouse lung	H5N1NS1	H5N1_NS1	1100	124
mouse_H5N1_NS1_124_7d__b	im101	mouse lung	H5N1NS1	H5N1_NS1	1100	124
mouse_H5N1_NS1_124_7d__p	im101	mouse lung	H5N1NS1	H5N1_NS1	1100	124
mouse_H7N9_WT_1d__b	im102	mouse lung	H7N9	H7N9_WT	1.00E+04	1d
mouse_H7N9_WT_1d__p	im102	mouse lung	H7N9	H7N9_WT	1.00E+04	1d
mouse_H7N9_WT_2d__b	im102	mouse lung	H7N9	H7N9_WT	1.00E+04	2d
mouse_H7N9_WT_2d__p	im102	mouse lung	H7N9	H7N9_WT	1.00E+04	2d
mouse_H7N9_WT_4d__b	im102	mouse lung	H7N9	H7N9_WT	1.00E+04	4d
mouse_H7N9_WT_4d__p	im102	mouse lung	H7N9	H7N9_WT	1.00E+04	4d
mouse_H7N9_WT_7d__b	im102	mouse lung	H7N9	H7N9_WT	1.00E+04	7d
mouse_H7N9_WT_7d__p	im102	mouse lung	H7N9	H7N9_WT	1.00E+04	7d
mouse_H7N9_FM_1d__b	im102	mouse lung	H7N9	H7N9_FM	1.00E+04	1d
mouse_H7N9_FM_1d__p	im102	mouse lung	H7N9	H7N9_FM	1.00E+04	1d
mouse_H7N9_FM_2d__b	im102	mouse lung	H7N9	H7N9_FM	1.00E+04	2d
mouse_H7N9_FM_2d__p	im102	mouse lung	H7N9	H7N9_FM	1.00E+04	2d
mouse_H7N9_FM_4d__b	im102	mouse lung	H7N9	H7N9_FM	1.00E+04	4d
mouse_H7N9_FM_4d__p	im102	mouse lung	H7N9	H7N9_FM	1.00E+04	4d
mouse_H7N9_FM_7d__b	im102	mouse lung	H7N9	H7N9_FM	1.00E+04	7d
mouse_H7N9_FM_7d__p	im102	mouse lung	H7N9	H7N9_FM	1.00E+04	7d
mouse_H7N9_691_1d__b	im102	mouse lung	H7N9	H7N9_691	1.00E+04	1d
mouse_H7N9_691_1d__p	im102	mouse lung	H7N9	H7N9_691	1.00E+04	1d
mouse_H7N9_691_2d__b	im102	mouse lung	H7N9	H7N9_691	1.00E+04	2d
mouse_H7N9_691_2d__p	im102	mouse lung	H7N9	H7N9_691	1.00E+04	2d
mouse_H7N9_691_4d__b	im102	mouse lung	H7N9	H7N9_691	1.00E+04	4d
mouse_H7N9_691_4d__p	im102	mouse lung	H7N9	H7N9_691	1.00E+04	4d
mouse_H7N9_691_7d__b	im102	mouse lung	H7N9	H7N9_691	1.00E+04	7d
mouse_H7N9_691_7d__p	im102	mouse lung	H7N9	H7N9_691	1.00E+04	7d
mouse_H5N1_WT_1d__b.1	im103	mouse lung	H5N1WT	H5N1_WT	1.00E+04	1d
mouse_H5N1_WT_1d__p.1	im103	mouse lung	H5N1WT	H5N1_WT	1.00E+04	1d
mouse_H5N1_WT_2d__b.1	im103	mouse lung	H5N1WT	H5N1_WT	1.00E+04	2d
mouse_H5N1_WT_2d__p.1	im103	mouse lung	H5N1WT	H5N1_WT	1.00E+04	2d
mouse_H5N1_WT_4d__b.1	im103	mouse lung	H5N1WT	H5N1_WT	1.00E+04	4d
mouse_H5N1_WT_4d__p.1	im103	mouse lung	H5N1WT	H5N1_WT	1.00E+04	4d
mouse_H5N1_NS1trunc124_1d__b	im103	mouse lung	H5N1NS1	H5N1_NS1	1.00E+04	1d
mouse_H5N1_NS1trunc124_1d__p	im103	mouse lung	H5N1NS1	H5N1_NS1	1.00E+04	1d
mouse_H5N1_NS1trunc124_2d__b	im103	mouse lung	H5N1NS1	H5N1_NS1	1.00E+04	2d
mouse_H5N1_NS1trunc124_2d__p	im103	mouse lung	H5N1NS1	H5N1_NS1	1.00E+04	2d
mouse_H5N1_NS1trunc124_4d__b	im103	mouse lung	H5N1NS1	H5N1_NS1	1.00E+04	4d
mouse_H5N1_NS1trunc124_4d__p	im103	mouse lung	H5N1NS1	H5N1_NS1	1.00E+04	4d
mouse_H5N1_NS1trunc124_7d__b	im103	mouse lung	H5N1NS1	H5N1_NS1	1.00E+04	7d
mouse_H5N1_NS1trunc124_7d__p	im103	mouse lung	H5N1NS1	H5N1_NS1	1.00E+04	7d
calu3_MERS_WT_0hr__b	mcl1	Calu3 cells	MERS	WT	moi5	0h
calu3_MERS_WT_0hr__p	mcl1	Calu3 cells	MERS	WT	moi5	0h
calu3_MERS_WT_7hr__b	mcl1	Calu3 cells	MERS	WT	moi5	7h
calu3_MERS_WT_7hr__p	mcl1	Calu3 cells	MERS	WT	moi5	7h
calu3_MERS_WT_12hr__b	mcl1	Calu3 cells	MERS	WT	moi5	12h
calu3_MERS_WT_12hr__p	mcl1	Calu3 cells	MERS	WT	moi5	12h
calu3_MERS_WT_24hr__b	mcl1	Calu3 cells	MERS	WT	moi5	24h
calu3_MERS_WT_24hr__p	mcl1	Calu3 cells	MERS	WT	moi5	24h
calu3_MERS_RFP_MERS_0hr__b	mcl1	Calu3 cells	MERS	RFP	moi5	0h
calu3_MERS_RFP_MERS_0hr__p	mcl1	Calu3 cells	MERS	RFP	moi5	0h
calu3_MERS_RFP_MERS_7hr__b	mcl1	Calu3 cells	MERS	RFP	moi5	7h
calu3_MERS_RFP_MERS_7hr__p	mcl1	Calu3 cells	MERS	RFP	moi5	7h
calu3_MERS_RFP_MERS_12hr__b	mcl1	Calu3 cells	MERS	RFP	moi5	12h
calu3_MERS_RFP_MERS_12hr__p	mcl1	Calu3 cells	MERS	RFP	moi5	12h
calu3_MERS_RFP_MERS_24hr__b	mcl1	Calu3 cells	MERS	RFP	moi5	24h
calu3_MERS_RFP_MERS_24hr__p	mcl1	Calu3 cells	MERS	RFP	moi5	24h
calu3_MERS_dNSP16_MERS_0hr__b	mcl1	Calu3 cells	MERS	dNSP16	moi5	0h
calu3_MERS_dNSP16_MERS_0hr__p	mcl1	Calu3 cells	MERS	dNSP16	moi5	0h
calu3_MERS_dNSP16_MERS_7hr__b	mcl1	Calu3 cells	MERS	dNSP16	moi5	7h
calu3_MERS_dNSP16_MERS_7hr__p	mcl1	Calu3 cells	MERS	dNSP16	moi5	7h
calu3_MERS_dNSP16_MERS_12hr__b	mcl1	Calu3 cells	MERS	dNSP16	moi5	12h
calu3_MERS_dNSP16_MERS_12hr__p	mcl1	Calu3 cells	MERS	dNSP16	moi5	12h
calu3_MERS_dNSP16_MERS_24hr__b	mcl1	Calu3 cells	MERS	dNSP16	moi5	24h
calu3_MERS_dNSP16_MERS_24hr__p	mcl1	Calu3 cells	MERS	dNSP16	moi5	24h
calu3_MERS_d4B_MERS_0hr__b	mcl1	Calu3 cells	MERS	d4B	moi5	0h
calu3_MERS_d4B_MERS_0hr__p	mcl1	Calu3 cells	MERS	d4B	moi5	0h
calu3_MERS_d4B_MERS_7hr__b	mcl1	Calu3 cells	MERS	d4B	moi5	7h
calu3_MERS_d4B_MERS_7hr__p	mcl1	Calu3 cells	MERS	d4B	moi5	7h
calu3_MERS_d4B_MERS_12hr__b	mcl1	Calu3 cells	MERS	d4B	moi5	12h
calu3_MERS_d4B_MERS_12hr__p	mcl1	Calu3 cells	MERS	d4B	moi5	12h
calu3_MERS_d4B_MERS_24hr__b	mcl1	Calu3 cells	MERS	d4B	moi5	24h
calu3_MERS_d4B_MERS_24hr__p	mcl1	Calu3 cells	MERS	d4B	moi5	24h
calu3_MERS_d3_5_MERS_0hr__b	mcl1	Calu3 cells	MERS	d3_5	moi5	0h
calu3_MERS_d3_5_MERS_0hr__p	mcl1	Calu3 cells	MERS	d3_5	moi5	0h
calu3_MERS_d3_5_MERS_7hr__b	mcl1	Calu3 cells	MERS	d3_5	moi5	7h
calu3_MERS_d3_5_MERS_7hr__p	mcl1	Calu3 cells	MERS	d3_5	moi5	7h
calu3_MERS_d3_5_MERS_12hr__b	mcl1	Calu3 cells	MERS	d3_5	moi5	12h
calu3_MERS_d3_5_MERS_12hr__p	mcl1	Calu3 cells	MERS	d3_5	moi5	12h
calu3_MERS_d3_5_MERS_24hr__b	mcl1	Calu3 cells	MERS	d3_5	moi5	24h
calu3_MERS_d3_5_MERS_24hr__p	mcl1	Calu3 cells	MERS	d3_5	moi5	24h
fb_MERS_WT_0HRS__b	mfb1	Human fibroblasts	MERS	WT	moi5	0h
fb_MERS_WT_0HRS__p	mfb1	Human fibroblasts	MERS	WT	moi5	0h
fb_MERS_WT_12HRS__b	mfb1	Human fibroblasts	MERS	WT	moi5	12h
fb_MERS_WT_12HRS__p	mfb1	Human fibroblasts	MERS	WT	moi5	12h
fb_MERS_WT_24HRS__b	mfb1	Human fibroblasts	MERS	WT	moi5	24h
fb_MERS_WT_24HRS__p	mfb1	Human fibroblasts	MERS	WT	moi5	24h
fb_MERS_WT_36HRS__b	mfb1	Human fibroblasts	MERS	WT	moi5	36h
fb_MERS_WT_36HRS__p	mfb1	Human fibroblasts	MERS	WT	moi5	36h
fb_MERS_WT_48HRS__b	mfb1	Human fibroblasts	MERS	WT	moi5	48h
fb_MERS_WT_48HRS__p	mfb1	Human fibroblasts	MERS	WT	moi5	48h
fb_MERS_WT_0HRS__b.1	mfb2	Human fibroblasts	MERS	WT	moi5	0h
fb_MERS_WT_0HRS__p.1	mfb2	Human fibroblasts	MERS	WT	moi5	0h
fb_MERS_WT_12HRS__b.1	mfb2	Human fibroblasts	MERS	WT	moi5	12h
fb_MERS_WT_12HRS__p.1	mfb2	Human fibroblasts	MERS	WT	moi5	12h
fb_MERS_WT_24HRS__b.1	mfb2	Human fibroblasts	MERS	WT	moi5	24h
fb_MERS_WT_24HRS__p.1	mfb2	Human fibroblasts	MERS	WT	moi5	24h
fb_MERS_WT_36HRS__b.1	mfb2	Human fibroblasts	MERS	WT	moi5	36h
fb_MERS_WT_36HRS__p.1	mfb2	Human fibroblasts	MERS	WT	moi5	36h
fb_MERS_WT_48HRS__b.1	mfb2	Human fibroblasts	MERS	WT	moi5	48h
fb_MERS_WT_48HRS__p.1	mfb2	Human fibroblasts	MERS	WT	moi5	48h
fb_MERS_WT_0HRS__b.2	mfb3	Human fibroblasts	MERS	WT	moi5	0h
fb_MERS_WT_0HRS__p.2	mfb3	Human fibroblasts	MERS	WT	moi5	0h
fb_MERS_WT_12HRS__b.2	mfb3	Human fibroblasts	MERS	WT	moi5	12h
fb_MERS_WT_12HRS__p.2	mfb3	Human fibroblasts	MERS	WT	moi5	12h
fb_MERS_WT_24HRS__b.2	mfb3	Human fibroblasts	MERS	WT	moi5	24h
fb_MERS_WT_24HRS__p.2	mfb3	Human fibroblasts	MERS	WT	moi5	24h
fb_MERS_WT_36HRS__b.2	mfb3	Human fibroblasts	MERS	WT	moi5	36h
fb_MERS_WT_36HRS__p.2	mfb3	Human fibroblasts	MERS	WT	moi5	36h
fb_MERS_WT_48HRS__b.2	mfb3	Human fibroblasts	MERS	WT	moi5	48h
fb_MERS_WT_48HRS__p.2	mfb3	Human fibroblasts	MERS	WT	moi5	48h
hae_MERS_WT_0HRS__b	mhae1	Human airway epithelium	MERS	WT	moi5	0h
hae_MERS_WT_0HRS__p	mhae1	Human airway epithelium	MERS	WT	moi5	0h
hae_MERS_WT_12HRS__b	mhae1	Human airway epithelium	MERS	WT	moi5	12h
hae_MERS_WT_12HRS__p	mhae1	Human airway epithelium	MERS	WT	moi5	12h
hae_MERS_WT_24HRS__b	mhae1	Human airway epithelium	MERS	WT	moi5	24h
hae_MERS_WT_24HRS__p	mhae1	Human airway epithelium	MERS	WT	moi5	24h
hae_MERS_WT_36HRS__b	mhae1	Human airway epithelium	MERS	WT	moi5	36h
hae_MERS_WT_36HRS__p	mhae1	Human airway epithelium	MERS	WT	moi5	36h
hae_MERS_WT_48HRS__b	mhae1	Human airway epithelium	MERS	WT	moi5	48h
hae_MERS_WT_48HRS__p	mhae1	Human airway epithelium	MERS	WT	moi5	48h
hae_MERS_WT_0HRS__b.1	mhae2	Human airway epithelium	MERS	WT	moi5	0h
hae_MERS_WT_0HRS__p.1	mhae2	Human airway epithelium	MERS	WT	moi5	0h
hae_MERS_WT_12HRS__b.1	mhae2	Human airway epithelium	MERS	WT	moi5	12h
hae_MERS_WT_12HRS__p.1	mhae2	Human airway epithelium	MERS	WT	moi5	12h
hae_MERS_WT_24HRS__b.1	mhae2	Human airway epithelium	MERS	WT	moi5	24h
hae_MERS_WT_24HRS__p.1	mhae2	Human airway epithelium	MERS	WT	moi5	24h
hae_MERS_WT_36HRS__b.1	mhae2	Human airway epithelium	MERS	WT	moi5	36h
hae_MERS_WT_36HRS__p.1	mhae2	Human airway epithelium	MERS	WT	moi5	36h
hae_MERS_WT_48HRS__b.1	mhae2	Human airway epithelium	MERS	WT	moi5	48h
hae_MERS_WT_48HRS__p.1	mhae2	Human airway epithelium	MERS	WT	moi5	48h
hae_MERS_WT_0HRS__b.2	mhae3	Human airway epithelium	MERS	WT	moi5	0h
hae_MERS_WT_0HRS__p.2	mhae3	Human airway epithelium	MERS	WT	moi5	0h
hae_MERS_WT_12HRS__b.2	mhae3	Human airway epithelium	MERS	WT	moi5	12h
hae_MERS_WT_12HRS__p.2	mhae3	Human airway epithelium	MERS	WT	moi5	12h
hae_MERS_WT_24HRS__b.2	mhae3	Human airway epithelium	MERS	WT	moi5	24h
hae_MERS_WT_24HRS__p.2	mhae3	Human airway epithelium	MERS	WT	moi5	24h
hae_MERS_WT_36HRS__b.2	mhae3	Human airway epithelium	MERS	WT	moi5	36h
hae_MERS_WT_36HRS__p.2	mhae3	Human airway epithelium	MERS	WT	moi5	36h
hae_MERS_WT_48HRS__b.2	mhae3	Human airway epithelium	MERS	WT	moi5	48h
hae_MERS_WT_48HRS__p.2	mhae3	Human airway epithelium	MERS	WT	moi5	48h
mmv_MERS_WT_0h__b	mmve1	Human microvascular endothelium	MERS	WT	moi5	0h
mmv_MERS_WT_0h__p	mmve1	Human microvascular endothelium	MERS	WT	moi5	0h
mmv_MERS_WT_12h__b	mmve1	Human microvascular endothelium	MERS	WT	moi5	12h
mmv_MERS_WT_12h__p	mmve1	Human microvascular endothelium	MERS	WT	moi5	12h
mmv_MERS_WT_24h__b	mmve1	Human microvascular endothelium	MERS	WT	moi5	24h
mmv_MERS_WT_24h__p	mmve1	Human microvascular endothelium	MERS	WT	moi5	24h
mmv_MERS_WT_36h__b	mmve1	Human microvascular endothelium	MERS	WT	moi5	36h
mmv_MERS_WT_36h__p	mmve1	Human microvascular endothelium	MERS	WT	moi5	36h
mmv_MERS_WT_48h__b	mmve1	Human microvascular endothelium	MERS	WT	moi5	48h
mmv_MERS_WT_48h__p	mmve1	Human microvascular endothelium	MERS	WT	moi5	48h
mmv_MERS_WT_0HRS__b	mmve2	Human microvascular endothelium	MERS	WT	moi5	0h
mmv_MERS_WT_0HRS__p	mmve2	Human microvascular endothelium	MERS	WT	moi5	0h
mmv_MERS_WT_12HRS__b	mmve2	Human microvascular endothelium	MERS	WT	moi5	12h
mmv_MERS_WT_12HRS__p	mmve2	Human microvascular endothelium	MERS	WT	moi5	12h
mmv_MERS_WT_24HRS__b	mmve2	Human microvascular endothelium	MERS	WT	moi5	24h
mmv_MERS_WT_24HRS__p	mmve2	Human microvascular endothelium	MERS	WT	moi5	24h
mmv_MERS_WT_36HRS__b	mmve2	Human microvascular endothelium	MERS	WT	moi5	36h
mmv_MERS_WT_36HRS__p	mmve2	Human microvascular endothelium	MERS	WT	moi5	36h
mmv_MERS_WT_48HRS__b	mmve2	Human microvascular endothelium	MERS	WT	moi5	48h
mmv_MERS_WT_48HRS__p	mmve2	Human microvascular endothelium	MERS	WT	moi5	48h
mmv_MERS_WT_0HRS__b.1	mmve3	Human microvascular endothelium	MERS	WT	moi5	0h
