,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
TAGLN2,0.6964417177914111,0.6113770250368188,0.5749188450367333,0.547500592276712,0.47010607521696746,0.3521889900303454,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TROAP,0.6046625766871166,0.5124570446735396,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PDCD7,0.5520245398773006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SLC25A1,0.6787730061349694,0.6202135493372607,0.6034512215957629,0.5723762141672595,0.5241080038572792,0.4399653229302098,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CTSD,0.7656441717791411,0.6649484536082474,0.6053305996924654,0.5646766169154229,0.5345548055287683,0.49826614651061946,0.3860398860398898,0.3471905846621106,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HDAC4,0.5995092024539878,0.514850270004909,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IFT140,0.6202453987730062,0.5686671575846833,0.4972663591320697,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ILF3,0.7258895705521473,0.6200294550810015,0.5540748334187596,0.5240464344941956,0.47733847637415444,0.3616168183788491,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRRC1,0.5520245398773006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CYR61,0.7706748466257669,0.6956921944035346,0.6322398769861609,0.5907367922293296,0.5580199292831883,0.5080190723883813,0.38575498575498823,0.3570615034168565,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RASD2,0.6844171779141105,0.5550441826215022,0.5028190671450543,0.4404169628050228,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TACC3,0.6707975460122699,0.6041973490427098,0.5562959166239536,0.5112532575219163,0.42896174863387343,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RAPGEF3,0.7828220858895706,0.6596097201767305,0.6027678113787801,0.5575692963752665,0.5160720025715205,0.4798439531859551,0.38831908831908973,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LIME1,0.6438036809815951,0.5419734904270986,0.4967538014693334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FBXW4,0.5520245398773006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DNAJB1,0.7397546012269939,0.6189248895434463,0.5597129677088672,0.5172944799810473,0.4604628736740564,0.38513220632856526,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FUS,0.6974233128834356,0.665500736377025,0.6213907397915599,0.6038853352286193,0.5697524911603987,0.5331599479843925,0.47435897435897584,0.39009111617312203,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ISYNA1,0.5882208588957055,0.5316642120765833,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TIMP3,0.7222085889570553,0.707658321060383,0.6401845207585853,0.6150201374081972,0.5846994535519122,0.552882531426094,0.4740740740740754,0.37129840546697074,0.3205128205128192,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HMGA1,0.7322699386503068,0.6369661266568483,0.5951648727148471,0.5628997867803844,0.5303760848601728,0.4449501517121775,0.39344729344729684,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MGEA5,0.5520245398773006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EI24,0.7739877300613497,0.7096833578792342,0.6824705279343926,0.648661454631604,0.6348441015750562,0.5996965756393577,0.5455840455840443,0.5205011389521664,0.41395463510848024,0.328947368421053,0.23293885601577954,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DDX21,0.7554601226993866,0.6877761413843888,0.6634204681359986,0.6366974650556741,0.614432658309225,0.5940615517988722,0.5410256410256397,0.4859529233105567,0.3873274161735677,0.3494152046783624,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
URM1,0.6046625766871166,0.5124570446735396,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PHB2,0.7263803680981595,0.6991899852724595,0.6696565863659661,0.6415541340914477,0.6272902603664418,0.5793237971391392,0.5430199430199418,0.5113895216400938,0.39225838264299595,0.31980994152046816,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PPL,0.6015950920245399,0.578240058910162,0.5339996582948923,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
USP22,0.6607361963190185,0.6428571428571428,0.6269434478045447,0.6015162283819008,0.5671809707489553,0.5277416558300796,0.4655270655270675,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BTG1,0.8348466257668712,0.7971281296023564,0.7744746283956945,0.7457948353470742,0.7208293153326905,0.6775032509752926,0.6364672364672366,0.6093394077448747,0.5216962524654833,0.5131578947368416,0.4575936883629192,0.32564102564102587,0.2468749999999999,0.0,0.0,0.0,0.0,0.0,0.0
PTGES3,0.787239263803681,0.7271723122238586,0.7032291132752434,0.666192845297323,0.6512375441980072,0.6168183788469866,0.5643874643874632,0.5159453302961302,0.46301775147929086,0.4290935672514606,0.26173570019723874,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRKDC,0.8391411042944785,0.8065169366715759,0.7862634546386468,0.7686567164179104,0.7483124397299904,0.7032943216298223,0.6612535612535613,0.6135155656795748,0.5443786982248522,0.5116959064327483,0.4492110453648914,0.32564102564102587,0.3237847222222219,0.02027027027027027,0.0,0.0,0.0,0.0,0.0
AP1S3,0.6387730061349693,0.5173662248404517,0.48974884674526037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TNKS1BP1,0.6822085889570553,0.6191089837997055,0.5900392960874766,0.5538971807628541,0.5208936033429749,0.44169917641958983,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRPF8,0.7098159509202454,0.6515095729013255,0.5734665983256451,0.5139777303956402,0.4856959177113463,0.465864759427828,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GDI2,0.641840490797546,0.5971404025527737,0.571330941397574,0.5382610755745122,0.48874959819993197,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRPS1,0.6644171779141105,0.5769513991163475,0.5134119255082864,0.4539208718313201,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GRB2,0.685398773006135,0.6272091310751104,0.5844865880744918,0.5508173418621197,0.5189649630343925,0.4191590810576483,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GALNT2,0.8175460122699387,0.7494477172312224,0.6804202972834443,0.6452262497038618,0.6200578592092575,0.5927611616818377,0.5509971509971507,0.48557327258922023,0.4329388560157793,0.3625730994152043,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FTHL17,0.665521472392638,0.5924153166421208,0.5588587049376391,0.5170575692963771,0.45114111218257463,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CRIP2,0.7146012269938651,0.6507731958762887,0.5457884845378439,0.5172944799810472,0.4451944712311129,0.4164499349804932,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TAF1,0.5520245398773006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PLXNB2,0.6242944785276074,0.5929675994108984,0.5598838202631133,0.5148069177919945,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PYCR2,0.7169325153374233,0.6662371134020618,0.602255253716043,0.5598199478796494,0.4932497589199583,0.45405288253142434,0.3710826210826246,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GBGT1,0.6046625766871166,0.5124570446735396,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ITGB5,0.7474846625766871,0.6931148748159057,0.6590637280027337,0.6401326699834163,0.6181292189006748,0.5793237971391391,0.5427350427350415,0.5041761579347027,0.4472386587771209,0.34758771929824556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RBMS2,0.5977914110429449,0.503804614629357,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PHB,0.6607361963190185,0.6428571428571428,0.6269434478045447,0.6015162283819008,0.5671809707489553,0.5277416558300796,0.4655270655270675,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRMT5,0.6242944785276074,0.5929675994108984,0.5598838202631133,0.5148069177919945,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MAP3K14,0.5520245398773006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CHD1L,0.6046625766871166,0.5124570446735396,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DNAJB6,0.7757055214723927,0.6945876288659794,0.6578677601230138,0.6244965647950723,0.590967534554806,0.5405288253142585,0.48034188034188074,0.44077448747152825,0.31997041420118305,0.2872807017543861,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HADHA,0.7100613496932515,0.6500368188512519,0.6336921236972494,0.6072020848140258,0.5867888138862097,0.5390117035110505,0.49173789173789156,0.4136294608959779,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SLC39A1,0.6504294478527608,0.6301546391752577,0.5986673500768838,0.5653873489694407,0.5316618450658941,0.48266146510619573,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PCBP2,0.6695705521472393,0.6423048600883652,0.6248077908764739,0.5878938640132678,0.556894889103182,0.5253576072821823,0.4603988603988627,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BSG,0.6860122699386504,0.6165316642120766,0.5471553049718098,0.5132669983416246,0.49083895853423254,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ATP1A1,0.7747239263803681,0.7201767304860088,0.6798223133435846,0.6438047855958304,0.6255223400835742,0.6009969657563933,0.5706552706552704,0.5060744115413844,0.4477317554240636,0.41447368421052505,0.32938856015779155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TSTA3,0.6685889570552148,0.5679307805596465,0.5175978130873066,0.44195688225539104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PDCD6IP,0.7413496932515338,0.6975331369661266,0.6562446608576799,0.5967780146884626,0.5658952105432332,0.5353272648461201,0.4529914529914547,0.41647684130599993,0.3394970414201167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FLNA,0.7857668711656443,0.7395066273932254,0.6732444900051255,0.6207059938403223,0.5668595306975248,0.5366276549631557,0.49971509971509975,0.4696279422930906,0.32618343195266136,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FPGS,0.6521472392638037,0.5272459499263623,0.4938493080471563,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TTLL4,0.6046625766871166,0.5124570446735396,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CHMP7,0.5520245398773006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DLST,0.5520245398773006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FGD4,0.5520245398773006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WHSC1,0.5520245398773006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SERF2,0.661717791411043,0.6041973490427098,0.5870493763881771,0.5415778251599151,0.45371263259401573,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ZXDC,0.6387730061349693,0.6110088365243004,0.5943960362207417,0.558043117744611,0.5003214400514276,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
REPIN1,0.7018404907975461,0.6586892488954345,0.6078933880061507,0.5692963752665251,0.5287688846030205,0.4553532726484578,0.38190883190883573,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TPM1,0.7166871165644172,0.68980117820324,0.6568426447975397,0.6152570480928694,0.5916104146576661,0.5465973125270892,0.5162393162393157,0.4079347000759321,0.32539447731755383,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EEF2,0.7112883435582823,0.6704712812960235,0.6498376900734667,0.6303008765695337,0.6039858566377377,0.5654529692240982,0.5341880341880331,0.49506454062262967,0.36952662721893276,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PHACTR4,0.7466257668711657,0.6165316642120766,0.5521100290449341,0.5139777303956408,0.4545162327225969,0.42035110533159875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LARP7,0.5520245398773006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HMGN2,0.6203680981595092,0.5519759450171823,0.5113616948573411,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SCAP,0.5520245398773006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KIF3B,0.6203680981595092,0.5519759450171823,0.5113616948573411,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ITGA3,0.8074846625766872,0.7579160530191458,0.7245002562788313,0.6832504145936983,0.6403085824493732,0.5977459904638058,0.5367521367521368,0.5091116173120729,0.4571005917159762,0.3969298245614024,0.2821499013806705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SEH1L,0.587239263803681,0.5318483063328416,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ARHGDIA,0.6242944785276074,0.5929675994108984,0.5598838202631133,0.5148069177919945,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FBXL18,0.6738650306748467,0.5712444771723122,0.5181957970271656,0.44539208718313417,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M6PR,0.7520245398773007,0.6778350515463918,0.6500939689048352,0.6087420042643927,0.581485053037608,0.5485478977026437,0.4789173789173795,0.43280182232346426,0.34635108481262156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ITGAM,0.7069938650306749,0.5887334315169367,0.5222108320519392,0.4792703150912107,0.42140790742526296,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CPNE1,0.6387730061349693,0.6110088365243004,0.5943960362207417,0.558043117744611,0.5003214400514276,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DYNC1H1,0.7203680981595092,0.6605301914580265,0.6336921236972494,0.6244965647950727,0.5970748955319832,0.557758994364976,0.5029914529914529,0.4263477600607445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B4GALT5,0.7731288343558282,0.7080265095729014,0.6767469673671622,0.6511490168206587,0.6325940212150435,0.5879930645860402,0.5461538461538448,0.505694760820048,0.4447731755424068,0.39985380116958946,0.200197238658777,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CDS1,0.6759509202453988,0.5903902798232695,0.5594566888774988,0.510779436152573,0.43201542912246477,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EVPL,0.5520245398773006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SLC45A2,0.6438036809815951,0.5419734904270986,0.4967538014693334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HYAL3,0.6074846625766872,0.5014113892979876,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PELI2,0.5995092024539878,0.514850270004909,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
COL23A1,0.9563190184049081,0.9221281296023564,0.885187083546899,0.851457000710732,0.8225650916104147,0.8075422626788037,0.7783475783475783,0.7600607441154137,0.70069033530572,0.7434210526315789,0.7406311637080867,0.7115384615384616,0.75,0.6959459459459459,0.6792452830188679,0.5897435897435898,0.5059523809523809,0.11764705882352941,0.0
AUP1,0.6987730061349694,0.6557437407952872,0.6145566376217324,0.5794835347074158,0.5531983285117323,0.4573038578240103,0.4014245014245051,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SLC7A5,0.8095705521472393,0.7240427098674521,0.6770886724756535,0.6477138118929164,0.6280938604950175,0.6022973558734285,0.5720797720797718,0.540242976461656,0.4477317554240636,0.38559941520467766,0.24980276134122284,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MTMR14,0.6680981595092025,0.553939617083947,0.5096531693148814,0.4404169628050228,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GPR124,0.6000000000000001,0.5027614138438884,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MAPKAP1,0.6420858895705522,0.5567010309278351,0.4996582948915097,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SLC39A7,0.6801226993865032,0.6539027982326951,0.639330257987357,0.6160862354892211,0.5927354548376731,0.5557000433463348,0.5088319088319077,0.4536826119969657,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KIFC1,0.5520245398773006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CSRP1,0.6504294478527608,0.6301546391752577,0.5986673500768838,0.5653873489694407,0.5316618450658941,0.48266146510619573,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MYO18A,0.7678527607361963,0.7102356406480118,0.6573552024602768,0.6160862354892207,0.5601092896174863,0.5104031209362808,0.472649572649573,0.4548215641609722,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IGSF8,0.5520245398773006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CXCL5,0.719877300613497,0.6319955817378498,0.6037075004271314,0.5678749111584948,0.5249116039858548,0.47680970957953756,0.38817663817664183,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LASP1,0.7912883435582823,0.7442930780559647,0.6975909789851358,0.6626391850272448,0.640147862423658,0.6114000866926743,0.5911680911680912,0.5649202733485201,0.4610453648915194,0.3961988304093559,0.3500986193293894,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
YWHAQ,0.73079754601227,0.6730486008836524,0.6531693148812575,0.6272210376687992,0.6012536162005784,0.5557000433463348,0.5065527065527057,0.45254365983295597,0.35424063116370624,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ANXA5,0.5520245398773006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
THOC6,0.6336196319018406,0.5390279823269514,0.47659320006834444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
YKT6,0.718036809815951,0.6881443298969072,0.6453100973859559,0.6177446102819241,0.5834136933461912,0.550715214564367,0.5102564102564092,0.41059225512528685,0.3283530571992106,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CD2BP2,0.6438036809815951,0.6091678939617083,0.5774816333504188,0.536958066808816,0.4889103182256471,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ELF1,0.5520245398773006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EDEM1,0.6283435582822087,0.5860333824251351,0.5423714334529314,0.5008291873963542,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KRT14,0.7523926380368099,0.688880706921944,0.6567572185204169,0.6327884387585881,0.617486338797814,0.586042479410489,0.533048433048432,0.4905087319665931,0.43096646942800804,0.0043859649122807015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MCL1,0.7710429447852761,0.6914580265095729,0.6665812403895438,0.6330253494432603,0.6059144969463193,0.5769397485912434,0.5162393162393157,0.4536826119969651,0.4033530571992102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TRIM44,0.6133742331288344,0.5743740795287187,0.5214419955578344,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TRAP1,0.7100613496932515,0.6500368188512519,0.6336921236972494,0.6072020848140258,0.5867888138862097,0.5390117035110505,0.49173789173789156,0.4136294608959779,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ATP6V0D1,0.5520245398773006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
STK3,0.6046625766871166,0.5124570446735396,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DNAJC7,0.6137423312883435,0.5579896907216495,0.5164018452075889,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
