samples	earlylate	pathogenicity	target tissue	species	level
calu3_SARS_WT_60H	late	high	lung	human	cells
calu3_SARS_WT_72H	late	high	lung	human	cells
calu3_SARS_BatSRBD_0H	early	high	lung	human	cells
calu3_SARS_BatSRBD_7H	early	high	lung	human	cells
calu3_SARS_BatSRBD_12H	early	high	lung	human	cells
calu3_SARS_BatSRBD_24H	late	high	lung	human	cells
calu3_SARS_BatSRBD_30H	late	high	lung	human	cells
calu3_SARS_BatSRBD_36H	late	high	lung	human	cells
calu3_SARS_BatSRBD_48H	late	high	lung	human	cells
calu3_SARS_BatSRBD_54H	late	high	lung	human	cells
calu3_SARS_BatSRBD_60H	late	high	lung	human	cells
calu3_SARS_BatSRBD_72H	late	high	lung	human	cells
mouse_SARS_WT_10^2_D1	early	high	lung	human	cells
mouse_SARS_WT_10^2_D2	early	high	lung	human	cells
mouse_SARS_WT_10^2_D4	late	high	lung	human	cells
mouse_SARS_WT_10^2_D7	late	high	lung	human	cells
mouse_SARS_WT_10^3_D1	early	high	lung	human	cells
mouse_SARS_WT_10^3_D2	early	high	lung	human	cells
mouse_SARS_WT_10^3_D4	late	high	lung	human	cells
mouse_SARS_WT_10^3_D7	late	high	lung	human	cells
mouse_SARS_WT_10^4_D1	early	high	lung	human	cells
mouse_SARS_WT_10^4_D2	early	high	lung	human	cells
mouse_SARS_WT_10^4_D4	late	high	lung	human	cells
mouse_SARS_WT_10^4_D7	late	high	lung	human	cells
mouse_SARS_WT_10^5_D1	early	high	lung	human	cells
mouse_SARS_WT_10^5_D2	early	high	lung	human	cells
mouse_SARS_WT_10^5_D4	late	high	lung	human	cells
mouse_SARS_WT_10^5_D7	late	high	lung	human	cells
mouse_ct_WNV_WT_1d	early	high	brain	mouse	cells
mouse_ct_WNV_WT_2d	early	high	brain	mouse	cells
mouse_ct_WNV_WT_4d	late	high	brain	mouse	cells
mouse_ct_WNV_WT_6d	late	high	brain	mouse	cells
mouse_ct_WNV_E218A_1d	early	low	brain	mouse	cells
mouse_ct_WNV_E218A_2d	early	low	brain	mouse	cells
mouse_ct_WNV_E218A_4d	late	low	brain	mouse	cells
mouse_ct_WNV_E218A_6d	late	low	brain	mouse	cells
mouse_cb_WNV_WT_1d	early	high	brain	mouse	cells
mouse_cb_WNV_WT_2d	early	high	brain	mouse	cells
mouse_cb_WNV_WT_4d	late	high	brain	mouse	cells
mouse_cb_WNV_WT_6d	late	high	brain	mouse	cells
mouse_cb_WNV_WT218A_1d	early	low	brain	mouse	cells
mouse_cb_WNV_WT218A_2d	early	low	brain	mouse	cells
mouse_cb_WNV_WT218A_4d	late	low	brain	mouse	cells
mouse_cb_WNV_WT218A_6d	late	low	lymph node	mouse	cells
mouse_ln_WNV_WT_1d	early	high	lymph node	mouse	cells
mouse_ln_WNV_WT_2d	early	high	lymph node	mouse	cells
mouse_ln_WNV_WT_4d	late	high	lymph node	mouse	cells
mouse_ln_WNV_WT_6d	late	high	lymph node	mouse	cells
mouse_ln_WNV_E218A_1d	early	low	lymph node	mouse	cells
mouse_ln_WNV_E218A_2d	early	low	lymph node	mouse	cells
mouse_ln_WNV_E218A_4d	late	low	lymph node	mouse	cells
mouse_ln_WNV_E218A_6d	late	low	lymph node	mouse	cells
