	Relative Change
ETV3	1.7078838932918352
STS	1.6961681191942717
GPR146	1.6868276399491493
MYSM1	1.6826327587574044
MMP9	1.6816417865687117
PDGFB	1.640423138032116
P2RY6	1.6070208353056865
PSMB5	1.6007921310302953
PHKG1	1.5937233728289455
FBXW7	1.5902165614423633
RASSF1	1.5835707300270798
TCN2	1.5470739142494003
GPX2	1.539012255395783
HIVEP1	1.5094980381761878
SYNGR3	1.5084913912146163
ARID4B	1.502047460918641
PDK2	1.4956093258688998
GPBP1	1.4479587309206525
CYP27A1	1.4415943687791288
NDUFA13	1.4155323763827887
SLC22A13	1.3893605137096992
STX11	1.3861342101034626
CRY1	1.3711162358289
OLFML3	1.3706037630668029
PGRMC1	1.3455364190266783
RBAK	1.3422075815154901
ADAM8	1.3279746051231465
F8	1.323497904917499
GNRH1	1.3041417681985366
VAV1	1.3024895867990793
TUB	1.2961555131283249
MBIP	1.2848653504539156
CHST2	1.274039482037761
PTPRZ1	1.2654298995624285
SLC40A1	1.2559250001181623
SCARA5	1.2512551969132069
RBBP6	1.2267936635706207
BMF	1.2243340747924403
DHCR7	1.2188748224699435
CCDC81	1.2157454628746218
POLE2	1.1985953802122387
DGKG	1.1728439395968575
PODXL	1.1644022557336446
PHB	1.1630336391839655
EEF1E1	1.16175570457373
VASH1	1.1570502448729707
TLE6	1.156616460141794
SYTL5	1.1525737507630054
ZBTB20	1.1470974554209588
ATP12A	1.146021917173251
TGFB3	1.1429694602719258
FSD1L	1.118716241791987
SENP7	1.1171523737240143
CREG2	1.1112601392368249
ICAM5	1.1078759408093437
ACAT2	1.0996936978077467
PRPS1	1.0985035523446964
PAQR5	1.097167938920886
LRG1	1.0964694062539415
C1QTNF3	1.0899643831867052
NPM2	1.0848282333226513
PDE3B	1.081011297214784
DNER	1.0776185132048222
HIST4H4	1.0771497191854331
PIGA	1.0619317813342588
ATP6V0E2	1.0516042874418805
KLF11	1.04617377425607
NOD2	1.043880216716141
WDR34	1.0431822135265751
LOX	1.0408622785037664
ZBTB10	1.038852099048442
TCP11L2	1.0388120921539816
USPL1	1.0386532395796115
CDC42EP2	1.0294367374982436
FOXO1	1.027406605365798
HIVEP2	1.020655003940128
ADCY1	1.0195406667627367
SYT8	1.0122493462258302
ATF4	1.0065715311657253
RAB36	1.0033373920773376
WNT11	1.0030196483674385
CCDC85A	0.9877309060511388
CTH	0.9873296866575845
KRT8	0.9861544058640948
GZF1	0.9745627459058367
GCKR	0.9692514879819586
NRCAM	0.9609398341066202
CNOT4	0.9555542600057988
DCP1A	0.9473296230408839
WDR62	0.9422866636477009
PDGFD	0.9357441565378279
SIX4	0.9354884994893333
MCTP1	0.9256100173486446
CHGB	0.9250562252379838
CSF1R	0.923910773364499
PCK2	0.921921262325175
KLF9	0.9013544641348121
HIST1H1D	0.894929024414565
CNFN	0.8922134448257953
VPS37D	0.8862258923720103
RNF157	0.8803986034214789
C1QTNF1	0.880061515865195
TANK	0.8736450015417917
POLD2	0.8724030903791872
NFKB2	0.8699277441394958
CXXC5	0.8667615728951469
HCFC2	0.8609986912425052
EHD1	0.8607448430275302
APBA1	0.8523119291032374
SLC6A14	0.8485182277312997
TMEM121	0.8477883013946557
NT5M	0.8477883013946557
GSTO2	0.8473077294962732
PER1	0.8387225465017779
FLCN	0.8363866827162544
NTNG2	0.8308059357065287
IGFBP7	0.829849045781884
ZBTB7C	0.8239924580384899
SNIP1	0.8214870953880034
FGD2	0.8197942800529545
UCP2	0.8194936315653082
BTAF1	0.8140961179961033
LRRC6	0.8104872329843886
ARL5B	0.8053517243333818
BMP7	0.8049799933424215
GPR37L1	0.804111109417184
CYLD	0.7988807180501896
SCARA3	0.7964250908227253
PSAP	0.7960506351230614
DUSP4	0.78578536717897
ESR1	0.7823517440090829
PRR15	0.7744370828936913
GUCA1B	0.768110546365894
MVD	0.7615798229740167
RBKS	0.7583402824202224
PPP4R2	0.7560837967146058
MYO3B	0.7549181535845467
SLC25A37	0.7518306843430104
GAS2L3	0.7507903969281454
XRN1	0.7471162982413074
KLF7	0.7433203658037161
ACOX2	0.7383112572484775
RLF	0.7349670450586854
FRS2	0.732977119035393
VMO1	0.731583371164235
ENDOG	0.7315118858560593
ZEB2	0.7304234701696466
SPATA13	0.7294550358752578
TAT	0.7251054781495075
RPS6KL1	0.7238561613351889
MIER1	0.722754647144177
KLHL4	0.7223185217635159
TNFSF15	0.7223073638399443
CENPA	0.7214150760697939
ENPP1	0.7191993369484799
CFTR	0.7189447961361872
FOXN2	0.7170551913586847
ADAM12	0.7101192708596131
BCL3	0.7058495947473905
KLRG2	0.6997360020301988
ALDH1A1	0.6986157792582659
PER3	0.6982766553498132
CORO1A	0.6967431343394984
SYT16	0.696186150889469
CCDC96	0.6935076944295206
IKZF5	0.6925247873972832
DDN	0.6910535168196684
SLC4A8	0.6890680884746031
SYT12	0.6862911724788102
GIPC2	0.6788238181954446
B3GNT5	0.6695246118038733
SLC28A3	0.6690678044281975
CD22	0.6612107535895005
ALX3	0.660477448466672
GRHL1	0.6586958692567839
UPK2	0.6581856125319304
NFKBIZ	0.6579931445923802
ARHGAP30	0.6576536268194543
SLC39A2	0.6563917267500708
TIAM2	0.6559424839568729
AGR2	0.6518127979136874
DPYSL5	0.6396351128611175
SESN3	0.6347691966118192
PROM1	0.6317243927157778
PIM1	0.6295419212044107
PBXIP1	0.628749918442102
ALDH1L2	0.6222493494598582
PRR16	0.6204932825804446
DUSP8	0.6204743961326079
ARHGAP19	0.6164184871474039
PRDX1	0.616251558534509
DPF3	0.6161676539097761
CTSD	0.6143919211822497
IRAK2	0.6110508027381921
RIBC2	0.6097379874571971
HIST1H2AK	0.6092523739258292
MND1	0.6079024528997374
GLI2	0.6063904720457759
NT5DC2	0.6047949257492912
SEC24A	0.604101699309577
NUDT4	0.5980631307281765
NEDD4L	0.5969800975319248
NGEF	0.5951122968831779
ACSS1	0.5904730700182977
RAB2B	0.5891115413998864
NUDT13	0.5889695884473757
RBM15	0.5866917224226239
FZD2	0.5852817760814841
HS6ST2	0.5847034701137285
CHIC2	0.5806416032108219
GALC	0.579905446007974
POGZ	0.5796010950139783
IL1A	0.5792983877377829
SDF2L1	0.5764855842012576
ADCY4	0.5723817430986411
BPGM	0.5716502660344547
RDM1	0.5707485094891377
ADAM32	0.5691492108989663
SVEP1	0.5660408900842652
ELAVL2	0.563645198231894
PYGO1	0.5630720829550241
TNNI2	0.5630661443794929
DUOXA2	0.5621389747645601
TMEM97	0.5616257992674971
LTB	0.5606934897035154
PPP1R15B	0.5603468271915518
RHCG	0.5603466296903145
GATM	0.5558315148339833
ANXA9	0.5545905503624005
CDK5R1	0.5510517364372685
ANXA2	0.5499106209325907
CP	0.5497239358300428
ZFYVE28	0.5495369130575544
KIF21B	0.5448173165118624
CHRNE	0.5437044472477137
CYP4B1	0.5426717222722479
TWIST1	0.5419581393445012
TRAP1	0.5410292563229665
F5	0.5381780253698555
CHTF18	0.5373236336761832
PDIK1L	0.5370362968470594
NRTN	0.5345807239978491
KLHDC7A	0.5342087394741292
PPP1R16B	0.531430368410338
SLA	0.5312332551481165
NFKBIA	0.5289598234558044
KCNJ12	0.5284473695983318
BCL10	0.525971812762431
MXD4	0.5254381246769164
MASP2	0.5229741105604738
MCM6	0.521157078285789
SEMA4A	0.5207546080701599
SPRR1A	0.5187853993378214
GPM6B	0.518081326144039
TRDMT1	0.5129174235098086
THOP1	0.5106018859047591
SV2B	0.5087387562157704
ADORA2A	0.5087086194718539
PPTC7	0.5067385831084019
ERN1	0.5042852599986528
FANK1	0.5042515115085541
PIK3C2G	0.5040087094307574
RAB26	0.5039845378806866
MXD3	0.49683424712856444
LENG9	0.49542636441846183
REEP1	0.4929198249600131
ASRGL1	0.49290782287625046
HBP1	0.49106509721765373
CD247	0.48993102957433404
UAP1L1	0.48957230002552693
LOXL4	0.48915665547624676
ALOXE3	0.4875697966605759
EREG	0.4867783615134981
COX5B	0.48345555653613503
NRGN	0.48013285967608593
SLC2A5	0.48006556295099
CTNND2	0.478803240014621
MAP2K6	0.47752521993537556
IQGAP2	0.4757357899266475
ANXA13	0.470897287417208
NFKB1	0.469021898370218
RSRC2	0.46755381064824053
ALDH8A1	0.46669893096790666
SCNN1B	0.46627714004678933
SKP2	0.4640973354322473
EPN3	0.4616412492443404
PTBP2	0.4601893064635697
HELB	0.4569391079476198
PPARGC1A	0.455989173073418
KHK	0.4544109287993122
TRAM1L1	0.4528058942965982
SH3GL3	0.452258553511103
MIER3	0.45213988091747004
SIVA1	0.4495656689277678
IVL	0.4490615192414487
SKIL	0.4463305447260207
TNF	0.44606506933899337
NANOS3	0.4445172508633555
CD83	0.44367711977331803
IMPG2	0.4429194176986851
HHEX	0.44257773525885674
MMP11	0.44182998366536747
STK32A	0.4417686285183326
RRM2	0.44083671504846433
IL20RB	0.4405397869259107
VAMP2	0.4390579822096489
TUBB2B	0.4383229784370742
CAMKK1	0.43825955246747605
SMARCA4	0.4361362377729042
TUFT1	0.4346914493573264
SULT1E1	0.4346595035343184
IL1R2	0.43302154077969535
PDE4B	0.4322922516230139
RAB33B	0.42863250513605416
VTCN1	0.4282214511312378
DMC1	0.4268097250481923
SGPP2	0.4255130266679125
HSF4	0.4251593721335301
TNIP1	0.42346181500456603
GPR176	0.4218819741202225
GDA	0.42123805525824576
TNFRSF11B	0.41827807199371236
DNM1	0.41796785053062824
CCND3	0.4172774907832208
MAFF	0.41403071231140004
MYNN	0.4126514921574563
RNF6	0.4100524759783079
ABLIM2	0.4094609045235747
FGFR3	0.4082660623662827
CALD1	0.40649764224570883
CNIH2	0.4061873873143047
CCL20	0.4028002334787951
GLP2R	0.4024204261916275
RAB30	0.399428020955964
SLC24A4	0.3985215323020591
PSMB10	0.3971235293747757
CAMK2B	0.39427092121384677
GYPC	0.3941725211754589
NNAT	0.392645567300455
ANKRD12	0.39172684157452065
WNK2	0.3913790052095989
NR1D1	0.39135240276461164
AMACR	0.3896634376953018
VNN1	0.3895815640065731
CXCL14	0.388895489568617
NFIL3	0.3884807591724566
KLHDC1	0.38772588292876037
ZC3H12A	0.38644958222354264
RBM39	0.3863482902371608
ETS2	0.3858442830730552
DRD4	0.38570813924788383
GDF9	0.38566481859541835
CCDC15	0.38405828782547835
B3GALNT2	0.38226794460117147
MTSS1	0.38025100122097005
BBC3	0.37962178681782405
HSH2D	0.37876905003166955
LSS	0.37735568002413883
BIRC3	0.37700945264863905
FOSL1	0.37515850702325015
FADS2	0.37353699629150006
SLC22A14	0.37211555243402783
WDR72	0.3715289329045022
GAL3ST4	0.3705858171628066
SPP1	0.3703336524763524
TK1	0.3691468885331531
TGM1	0.3689107743223344
TSC22D3	0.36883443720222986
IL33	0.36827276865402275
GCHFR	0.3682566384492954
MAN1C1	0.36762747424370895
PLCXD2	0.365550944410599
MEIG1	0.3635168297016649
CPLX2	0.36200510794698904
RYBP	0.3613500169596011
CTSO	0.36084120990489016
SLC7A2	0.3597326711165936
MBOAT1	0.35795953361055105
FBXO6	0.3579084843673592
LAGE3	0.3565700510920542
ITGB7	0.3554204063950174
EMILIN1	0.3533150624567176
SERPINB2	0.3526296589444377
GABRA3	0.35219981327427335
PKMYT1	0.351116161357864
DDC	0.3486452649972822
NR4A3	0.34761132689011226
SLC2A13	0.34745898954323934
CPXM1	0.34738941911104815
PRDM1	0.3460160542945681
CYP1A1	0.3454694436025029
ARRDC3	0.3443402927262288
ESF1	0.34289967108665864
TIMD4	0.34221523227452344
TNFRSF9	0.3420374933976149
BEST1	0.3418550693520672
IRF1	0.3392047961283565
SLC5A10	0.33903191885836054
SPSB1	0.3387976438808334
SDK2	0.3381835454496336
MSX1	0.3376202902704211
CCNT2	0.33701103865924464
PCSK1N	0.3363254545482112
CD248	0.33485902171054877
ABTB2	0.33164013428266487
GLI1	0.32818252305597684
HPGD	0.328139342046237
PLSCR1	0.3249993619491388
INTS6	0.32433687082197216
MCM5	0.3237226711526942
MARCO	0.3226694651187031
RASGRP1	0.3223985318032308
TSPAN1	0.3211119043698657
RERG	0.3207261216684202
ACRBP	0.31752651532942255
KCNE3	0.3174343519927105
NCF1	0.3158774626370424
HIST1H1E	0.3156701318900426
TMED6	0.31550883706863375
ICAM4	0.31382338156597966
RHOV	0.3125047206337357
PGM5	0.31175303122638365
TIPARP	0.3113259892835608
MYLK	0.31115238085883745
IL1B	0.31108011098656124
SLC2A8	0.3109548783792204
IKBKE	0.31043006762212916
NRIP3	0.3093737393999997
ADI1	0.3084358356617692
BACH2	0.3078153242498406
CRYM	0.307152412441942
TTYH3	0.30594433435757995
SUSD3	0.3051395081026316
GFI1	0.3048745376346586
ZBTB37	0.3037943882257359
CHRNA10	0.30318180806488537
SAC3D1	0.3030706506803839
SOD2	0.3030221342055327
PARP12	0.3026483124115449
RNF183	0.30190681547383585
SLC6A17	0.3014260261413894
RENBP	0.3011566878194961
MAFG	0.3009920502985602
KRT15	0.30022134333570544
EFNB3	0.298712538454943
NGFR	0.29849842540161936
BCAT1	0.2981492880093254
KLF4	0.2975495061552838
PLAT	0.2968063364509759
OTUD3	0.2961724227105113
PTPRR	0.2961074302889873
SALL2	0.2956399950932267
H2AFX	0.2956377798726834
SH2D2A	0.29437072018451194
ADAMTS9	0.293055956402152
DERL3	0.2917730250664022
MAP3K8	0.2915307225118658
PRODH	0.2902303763696091
TMEM88	0.2889474500868475
LAX1	0.28668306393333
SHC2	0.28593249174425506
SOX9	0.28587098969076763
JUNB	0.28398815317288717
KRT20	0.28337398500221683
RARRES2	0.2825391882165432
ZWINT	0.2816819943356863
PRDX3	0.28130747672273626
GDNF	0.2810769027261389
CDKN1A	0.2800127411609898
MKX	0.279899467500939
PTX3	0.2778788282381728
BEX2	0.2765871130023862
TNFAIP3	0.27614943984146634
AMIGO1	0.27594958485743165
VNN3	0.27500314873695186
NPFF	0.2747378089047784
COL8A1	0.27438176251940394
CGNL1	0.2743642553336552
LY6D	0.27407680837162973
IER5	0.2716828276470374
CAPN6	0.2683818569889517
LY75	0.2674274231075677
PDE9A	0.26706059516201314
NEIL3	0.266989855703062
RAB37	0.2667515193366366
LGALS9	0.26454247004417264
FGG	0.26389627232111784
ZSWIM5	0.26351978002795706
AOC3	0.26255779014156166
DEPDC7	0.26231146067822486
FOSB	0.26208390759837014
ZBTB43	0.2602264562079548
PCF11	0.25998598432747566
HES1	0.25995885161882826
MNS1	0.25946881340013506
PSTPIP1	0.2586519595881544
BMP2	0.2585853285511558
RECQL4	0.2575707003214556
TLR2	0.25433381770087243
ZFP36	0.25353975988894656
ARSG	0.25114807244919235
COL4A2	0.25068199739450703
IRF7	0.2501113946376618
ADM	0.24918558157119433
CCL2	0.24845523801348807
PRG2	0.2473676752291734
CREB5	0.2473624202557809
CXCL2	0.2465020823244555
CLEC11A	0.24645048766345148
CLK1	0.2459256211545727
TNFSF13B	0.24497597507241684
TRAF1	0.2436085212477298
PLCB1	0.24338025567724872
ARID3B	0.24297115520433488
DDO	0.23941230233673513
ATP2A1	0.239295822843498
GPC1	0.23904716564492628
ADRB2	0.23773866257659448
ISLR	0.2375385596962428
TSNAXIP1	0.23673540660444026
NUDT8	0.2366009701999523
VIL1	0.23483880673149427
BTG1	0.23448495759723414
FRY	0.23420684050023186
ITPKA	0.23171780055594351
SPRY4	0.23103048155877295
DSEL	0.23084565633860651
NFE2L2	0.22932409527834757
TNFSF14	0.22932267125117484
IER2	0.22931636787237403
LAMA2	0.2279663619111128
BSG	0.22761386274243753
TMEM171	0.2270713617319001
DDIT4	0.22704633481540762
ENG	0.22655670019000834
IFI44	0.22594316154883473
SH3TC1	0.22592639785034227
SPOCK2	0.2248598369618656
BIK	0.22385670760310486
BDKRB2	0.2230677645734836
PDGFRL	0.2227888911405007
SAMSN1	0.2227492756199538
TST	0.22266721871516612
IFIT3	0.22261510680644328
MB	0.22181234225845292
S100A9	0.22099936931887693
CYP1B1	0.22081387644206643
PAQR4	0.2205648973845946
LAT2	0.22040260001109263
SLC9A9	0.22017539966534544
ITGB3	0.21919102648373606
FMO5	0.21821805022312743
TRIM29	0.2177464894076638
ETS1	0.21681177543001479
ANK1	0.21660066533864739
ATG16L2	0.21463607271759522
BCL2	0.21459125846467897
KRBA1	0.21437942214312342
PXMP2	0.21308813960907652
CDKN2C	0.2125098583960823
SAMD9L	0.21182317782180185
TPD52L1	0.2111869867362352
IL10RA	0.21086545672682394
SLCO4C1	0.20907879569311677
NRIP1	0.20819262207058284
BIRC2	0.2076381447623244
OAS3	0.20724736039161168
TMOD4	0.20713426678553223
INHBE	0.20691823820041194
TLR1	0.2031074645157405
FXYD7	0.20132499976051135
DUSP10	0.20126880985860274
KLF10	0.20095090971335416
EPHX1	0.20090172951055804
SLC23A3	0.20038979600840348
TRIM2	0.19957901385995044
PDE5A	0.1988192905893317
CXCL1	0.1986838146783926
CORO6	0.19863122077934361
UPK3B	0.19848285306370966
BAHCC1	0.19814621243037753
LAMP3	0.19766565708293526
INHBA	0.19752048721276866
MXD1	0.19629248338620015
ABCG1	0.195851052274092
PLA2G7	0.19524947067172946
THBD	0.194676830237595
BST2	0.1940761284814326
SOX7	0.1923471208555905
SULT1C2	0.19159903437403114
AGBL2	0.19086392208337724
TMCC2	0.19047779846346174
CYBA	0.19001451148966142
RASL11A	0.18989095312248358
SMTN	0.18945548799194264
QPRT	0.18930987121342435
TNFAIP2	0.18925678658753867
PNRC2	0.18915246586801263
DND1	0.1885345302608867
GAS2	0.18658942556187097
HES6	0.18523491440609763
GPD1	0.18452965317251716
PROC	0.18428453255181462
ALDH3A2	0.1830211048959275
SCN8A	0.18072612992900178
IFIH1	0.1797561799975495
G0S2	0.17884801073433798
KYNU	0.17882570929372943
PARD6B	0.17867467966226125
WTAP	0.178237099350691
SLC6A12	0.17653981934866084
GULP1	0.17634128772503077
SLAMF9	0.17608963892453
CENPP	0.1759148016464854
TRIM56	0.17466499427856977
PSAT1	0.1738767572859485
ARL4D	0.17318047744871765
CX3CL1	0.172647080890133
PPP1R10	0.17253863379272505
POR	0.1723891168846139
DDIT3	0.17142645942338053
OPTN	0.17060464498690234
SOD3	0.17052852673227084
KAZALD1	0.1701946629492322
TBC1D22B	0.16955609389134604
MAF	0.16924207738554253
FGF18	0.16851129499893353
UGCG	0.1669528121596723
C2	0.16672973786118156
CLDN2	0.16630021072845924
IL18R1	0.16629340598406986
EPHA4	0.16567669560115117
IL7R	0.16543452256086594
RELB	0.1654084675425336
LCN2	0.1651538732196493
CSF2	0.16496279187406354
SNX22	0.16436567583340167
STAT4	0.1626686696456562
FOSL2	0.1625051985996197
HYDIN	0.16218750169312268
SLC22A17	0.16155907054212093
IFI35	0.16107251127429742
HR	0.1586608933300377
ICAM1	0.15847627723551122
UBD	0.15846732272620664
SEMA3A	0.1581786806691873
IFITM1	0.15801990701155685
DIO2	0.15797137423201188
LGALS4	0.15757149946947774
CCNB1	0.15717196141871367
ALPK3	0.15622031507568562
CCNG2	0.15567857828883053
PROX1	0.15508280158652288
PPM1K	0.15459031688889127
MX1	0.15435323279354052
ARC	0.15421449701735854
PER2	0.15416382469690557
FGD6	0.15402460243714006
UCP3	0.15270733495135969
ADPRH	0.15241845585378386
PARD6G	0.15238503857963404
FSCN1	0.15210763437782734
GATA3	0.15164974005311058
ODC1	0.1510858839786767
IER3	0.1506897908401183
LAMA4	0.15019105769116242
PELI1	0.15000417609538297
PARP9	0.14840979511851704
NEDD9	0.14803089029137861
ST6GALNAC5	0.1472217751290487
SLPI	0.1467397236140843
NEDD4	0.1448278826582625
IFITM2	0.14278257807498274
RHEBL1	0.14266657706082614
TMEM37	0.14242778078608487
NKD2	0.1423934304934553
TMEM52	0.1423132699008553
AATK	0.1414367604519662
GADD45B	0.14108408978776737
ABL2	0.1410828565799123
SP110	0.14079890142657145
BCL2L14	0.1407286134239217
KLF6	0.14032636208865693
MUC4	0.13999034474557154
CDH6	0.13731626507100378
CLK4	0.1370677090319722
TSPAN8	0.13688974401553702
LAG3	0.13682457256916689
MAOB	0.1367304386863364
PDZK1IP1	0.1352945681463749
FBN1	0.1352347333911255
CD14	0.13477973284128458
ID1	0.13453629752149124
LGI3	0.13404136115382737
MYO18B	0.13365145444094836
OTUD1	0.1336209550756626
HKDC1	0.13350900322106285
SLC16A6	0.13324676180962963
GJB1	0.13297992241047038
PPP1R9A	0.13243676524369075
COL6A2	0.13094721935095208
ISG15	0.13069673195428133
TBX2	0.1300961153638368
SEMA3D	0.1297922172843542
EDN1	0.12800277291434067
GDF15	0.12758785883065019
PDK4	0.12737829185456742
GPNMB	0.1270399376793935
GBP3	0.12658619573042534
PHF11	0.12627257464345923
SAA2	0.12421593614250862
STC2	0.12244267927055047
RBM43	0.12193242065393965
SLC11A1	0.12126913516067951
SERPINB9	0.12039710173599763
TUBB3	0.1200601030868223
NR4A1	0.11991678582143138
PLA2G4C	0.11912399817187638
WDR90	0.11860142783868614
MAST4	0.11789359653959071
GBX2	0.11619617457453389
PIGZ	0.11593806154536844
ASNS	0.11561475177856272
PROS1	0.11529401008264861
RGS4	0.11451804758955411
CCNL1	0.11409044948268841
PLXNC1	0.11400484156713288
ZFP36L1	0.11369183649549719
VAV3	0.11355743445058211
TLR3	0.11325831483820789
ALOX12B	0.11221282985359496
PARP14	0.11208612732436649
APC2	0.11117951013826184
EDN2	0.11030851550697157
CTXN1	0.11003828556325357
TXNDC5	0.10994312121137066
GADD45A	0.10936213656639493
CCDC34	0.108744298151113
PNPT1	0.10869971921990591
STAT2	0.10770689776113827
PCYOX1	0.10768688078204791
CPT1C	0.1072142900194775
NPR1	0.10646175015249078
PBX1	0.10630298700483319
SLITRK6	0.1052747203465357
MYL9	0.10507807239583805
F3	0.10458244356082874
IDH1	0.10361127442927763
JUN	0.10351198140456577
PLEKHB1	0.10251033378593447
OAS2	0.1020785995554841
NCALD	0.09902076894412692
CDKN2AIP	0.09899333066288976
ZFP2	0.09805434649634773
PLA2G4F	0.09714054188713411
LIFR	0.09702902803778415
AMOT	0.09694203974930228
HBEGF	0.09623568136325758
ADM2	0.09622456492626434
GBP1	0.09613905434445258
COL9A2	0.09608235027742242
CNKSR3	0.09540869946115761
PCSK9	0.09496688050619594
SAMHD1	0.09495324650800337
CHD2	0.09436306139816927
PNRC1	0.09413387461467586
NFKBIE	0.09407651107080191
COL6A1	0.09350421515431853
GEM	0.0933080624004464
LRMP	0.09185351129777419
PHLDB2	0.09128021078171514
NEB	0.09040040063952033
AVIL	0.08895255104258958
MDH1B	0.08862942903964188
NID2	0.0883178235638255
CEBPB	0.08816783862028706
CFI	0.0880617670035445
PALM	0.08790574700933919
FFAR2	0.08720950639126676
KLF2	0.08707703250267104
PDE4D	0.08678153188784796
RBMS3	0.08667945909001347
SEMA3G	0.08666885092743987
DUSP1	0.08638349437645684
PTAFR	0.0853631429009354
GGN	0.08462283013452637
MTHFD2	0.08381273589705882
LRRC45	0.08316293148236636
MSTO1	0.08292180597239927
TMEM71	0.08272534123948727
RASGEF1B	0.08265109499536706
